COD_LOCAL;DT_REF;SUBSTANCIA;MEDICAO;DIMENSAO
PAS 03;2023-11-27;Fosfato Total;<0.006;mg/L
PAS 03;2024-05-23;Coliformes Termotolerantes;330;NMP/100mL
PAS 03;2024-06-25;Coliformes Termotolerantes;20;NMP/100mL
PAS 03;2024-03-18;Coliformes Termotolerantes;3300;NMP/100mL
PAS 03;2024-07-29 11:32:00;Coliformes Termotolerantes;<1.8;NMP/100mL
PAS 03;2022-05-26;Coliformes termotolerantes;Ausente;NMP/100mL
PAS 03;2022-11-25;Coliformes termotolerantes;Ausente;NMP/100mL
PAS 03;2024-02-22;Coliformes Termotolerantes;Presente;-
PAS 03;2024-04-17;Coliformes Termotolerantes;Presente;-
PAS 03;2020-12-16;Coliformes totais;1600;NMP/100mL
PAS 03;2021-07-03;Coliformes totais;>1600;NMP/100mL
PAS 03;2021-12-03;Coliformes totais;>1600;NMP/100mL
PAS 03;2022-05-26;Coliformes totais;Ausente;NMP/100mL
PAS 03;2022-11-25;Coliformes totais;Ausente;NMP/100mL
PAS 03;2023-05-18;Coliformes totais;9200;NMP/100mL
PAS 03;2023-11-27;Fósforo total;5.8999999999999997E-2;mg/L
PAS 03;2024-02-22;Coliformes Totais;Presente;-
PAS 03;2024-03-18;Coliformes Totais;3300;NMP/100mL
PAS 03;2024-04-17;Coliformes Totais;Presente;-
PAS 03;2024-05-23;Coliformes Totais;790;NMP/100mL
PAS 03;2024-06-25;Coliformes Totais;45;NMP/100mL
PAS 03;2024-07-29 11:32:00;Coliformes Totais;78;NMP/100mL
PAS 03;2023-11-22;Fósforo total;0.03;mg/L
PAS 03;2023-11-22;Manganês Total;0.1;mg/L
PAS 03;2024-05-23;Manganês Total;<0.01;mg/L
PAS 03;2024-06-25;Manganês Total;1.6E-2;mg/L
PAS 03;2024-02-22;Manganês Total;0.03;mg/L
PAS 03;2024-03-18;Manganês Total;4.2000000000000003E-2;mg/L
PAS 03;2024-04-17;Manganês Total;2.1000000000000001E-2;mg/L
PAS 03;2024-07-29 11:32:00;Manganês Total;3.5999999999999997E-2;mg/L
PAS 03;2022-05-26;Temperatura do ambiente;30;°C
PAS 03;2022-11-25;Temperatura do ambiente;32;°C
PAS 03;2023-05-18;Temperatura do ambiente;30;°C
PAS 03;2023-11-27;Manganês Total;9.0999999999999998E-2;mg/L
PAS 03;2023-12-14;Temperatura do ambiente;32;°C
PAS 03;2024-05-23;Temperatura Ambiente;27.1;°C
PAS 03;2024-06-25;Temperatura Ambiente;29;°C
PAS 03;2024-06-25;Temperatura Ambiente;29.7;°C
PAS 03;2024-06-25;Temperatura Ambiente;29.7;°C
PAS 03;2024-05-23;Temperatura Ambiente;27.1;°C
PAS 03;2024-04-17;Temperatura Ambiente;33;°C
PAS 03;2024-04-17;Temperatura Ambiente;33;°C
PAS 03;2024-07-29 11:32:00;Temperatura do Ambiente;27;°C
PAS 03;2024-07-29 11:07:00;Temperatura do Ambiente;27;°C
PAS 03;2024-07-29 11:31:00;Temperatura do Ambiente;27;°C
PAS 03;2024-05-23;Sulfeto Total;<0.001;mg/L
PAS 03;2024-06-25;Sulfeto Total;<0.001;mg/L
PAS 03;2024-02-22;Sulfeto Total;<0.001;mg/L
PAS 03;2024-03-18;Sulfeto Total;8.9999999999999993E-3;mg/L
PAS 03;2024-04-17;Sulfeto Total;4.0000000000000001E-3;mg/L
PAS 03;2024-07-29 11:32:00;Sulfeto Total;<0.001;mg/L
PAS 03;2024-05-23;Nitrogênio Orgânico;<1.;mg/L
PAS 03;2024-06-25;Nitrogênio Orgânico;<0.3;mg/L
PAS 03;2024-02-22;Nitrogênio Orgânico;<0.3;mg/L
PAS 03;2024-03-18;Nitrogênio Orgânico;<1.;mg/L
PAS 03;2024-04-17;Nitrogênio Orgânico;<0.3;mg/L
PAS 03;2024-07-29 11:32:00;Nitrogênio Orgânico;2.2000000000000002;mg/L
PAS 15;2024-07-24 15:30:00;Nitrato (como N);<0.23;mg/L (como  N)
PAS 16;2024-05-24;Nitrato (como N);<0.23;mg/L
PAS 26;2024-05-21;Nitrato (como N);<0.23;mg/L
PAS 25;2024-07-24 10:38:00;Alcalinidade Total;10;mg/L
PAS 21;2024-06-26;Nitrato (como N);<0.5;mg/L
PAS 23;2024-06-26;Nitrato (como N);<0.5;mg/L
PAS 02;2024-03-20;Nitrato;<0.23;mg/L
PAS 02;2024-04-17;Nitrato;<0.23;mg/L
PAS 03;2024-02-22;Nitrato;<0.23;mg/L
PAS 03;2024-06-25;Manganês Dissolvido;1.4999999999999999E-2;mg/L
PAS 03;2024-07-29 11:07:00;Manganês Dissolvido;3.2000000000000001E-2;mg/L
PAS 03;2024-06-25;Chumbo Dissolvido;<0.003;mg/L
PAS 03;2024-07-29 11:07:00;Chumbo Dissolvido;1.0999999999999999E-2;mg/L
PAS 03;2024-06-25;Cobre Dissolvido;<0.0003;mg/L
PAS 03;2024-07-29 11:07:00;Cobre Dissolvido;<0.0003;mg/L
PAS 03;2024-06-25;Ferro Dissolvido;0.104;mg/L
PAS 03;2024-07-29 11:07:00;Ferro Dissolvido;8.5000000000000006E-2;mg/L
PAS 13;2021-12-03;Alcalinidade total;23;mg/L
PAS 26;2024-04-17;Alcalinidade Total;23;mg/L
PAS 06;2020-12-17;Alcalinidade total;22;mg/L
PAS 01;2022-11-23;Alcalinidade total;21;mg/L
PAS 02;2021-12-03;Alcalinidade total;21;mg/L
PAS 05;2021-07-04;Alcalinidade total;20;mg/L
PAS 05;2021-12-02;Alcalinidade total;20;mg/L
PAS 05;2023-11-21;Alcalinidade total;20;mg/L
PAS 13;2024-07-24 14:21:00;Alcalinidade Total;20;mg/L
PAS 14;2021-07-06;Alcalinidade total;20;mg/L
PAS 14;2024-02-22;Alcalinidade Total;20;mg/L
PAS 16;2024-05-24;Alcalinidade Total;20;mg/L
PAS 07;2021-07-04;Alcalinidade total;19;mg/L
PAS 15;2020-12-16;Alumínio dissolvido;0.17100000000000001;mg/L
PAS 04;2024-04-17;Alumínio Dissolvido;0.16200000000000001;mg/L
PAS 27;2024-02-20;Alumínio Dissolvido;0.161;mg/L
PAS 30;2024-03-21;Alumínio Dissolvido;0.16;mg/L
PAS 26;2024-04-17;Alumínio Dissolvido;0.159;mg/L
PAS 15;2024-05-22;Alumínio Dissolvido;0.151;mg/L
PAS 07;2023-11-22;Alumínio dissolvido;0.15;mg/L
PAS 26;2024-06-27;Alumínio Dissolvido;0.14599999999999999;mg/L
PAS 05;2024-07-23 09:29:00;Alumínio Dissolvido;0.14399999999999999;mg/L
PAS 03;2024-04-17;Alumínio Dissolvido;0.14199999999999999;mg/L
PAS 02;2020-12-16;Alumínio dissolvido;0.14000000000000001;mg/L
PAS 30;2023-11-23;Alumínio dissolvido;0.14000000000000001;mg/L
PAS 02;2024-07-24 14:25:00;Alumínio Dissolvido;0.13900000000000001;mg/L
PAS 04;2020-12-16;Amônia;1.7000000000000001E-2;mg/L
PAS 04;2021-07-03;Amônia;<0.0001;mg/L
PAS 04;2021-12-03;Amônia;<0.0001;mg/L
PAS 04;2022-05-27;Amônia;<0.6;mg/L
PAS 04;2022-11-24;Amônia;<0.6;mg/L
PAS 04;2023-05-18;Amônia;<0.6;mg/L
PAS 04;2023-11-24;Amônia;<0.6;mg/L
PAS 04;2024-05-24;Amônia;<0.005;mg/L
PAS 04;2024-06-26;Amônia;0.48599999999999999;mg/L
PAS 04;2024-02-19;Amônia;<0.005;mg/L
PAS 04;2024-03-20;Amônia;<0.005;mg/L
PAS 04;2024-04-17;Amônia;<0.1;mg/L
PAS 04;2024-07-24 11:57:00;Amônia;<0.1;mg/L
PAS 04;2020-12-16;Cádmio total;<0.001;mg/L
PAS 04;2021-07-03;Cádmio total;<0.001;mg/L
PAS 04;2021-12-03;Cádmio total;<0.001;mg/L
PAS 04;2022-05-27;Cádmio total;<0.001;mg/L
PAS 04;2022-11-24;Cádmio total;<0.001;mg/L
PAS 04;2023-05-18;Cádmio total;<0.001;mg/L
PAS 04;2023-11-24;Cádmio total;<0.001;mg/L
PAS 04;2024-05-24;Cádmio Total;<0.0003;mg/L
PAS 04;2024-06-26;Cádmio Total;<0.0003;mg/L
PAS 04;2024-02-19;Cádmio Total;<0.0003;mg/L
PAS 04;2024-03-20;Cádmio Total;<0.0003;mg/L
PAS 04;2024-04-17;Cádmio Total;<0.0003;mg/L
PAS 04;2024-07-24 11:57:00;Cádmio Total;<0.0003;mg/L
PAS 04;2020-12-16;Chumbo total;<0.01;mg/L
PAS 04;2021-07-03;Chumbo total;<0.01;mg/L
PAS 04;2021-12-03;Chumbo total;<0.01;mg/L
PAS 04;2022-05-27;Chumbo total;<0.005;mg/L
PAS 04;2022-11-24;Chumbo total;<0.005;mg/L
PAS 04;2023-05-18;Chumbo total;<0.005;mg/L
PAS 04;2023-11-24;Chumbo total;<0.005;mg/L
PAS 04;2024-05-24;Chumbo Total;<0.003;mg/L
PAS 04;2024-06-26;Chumbo Total;<0.003;mg/L
PAS 04;2024-02-19;Chumbo Total;<0.003;mg/L
PAS 04;2024-03-20;Chumbo Total;1.6E-2;mg/L
PAS 04;2024-04-17;Chumbo Total;<0.003;mg/L
PAS 04;2024-07-24 11:57:00;Chumbo Total;<0.003;mg/L
PAS 04;2020-12-16;Cloreto;3;mg/L
PAS 04;2021-07-03;Cloreto;4;mg/L
PAS 04;2021-12-03;Cloreto;2.5;mg/L
PAS 04;2022-05-27;Cloreto;1.2;mg/L
PAS 04;2022-11-24;Cloreto;1.5;mg/L
PAS 04;2023-05-18;Cloreto;4.9000000000000004;mg/L
PAS 04;2023-11-24;Cloreto;6;mg/L
PAS 04;2023-12-14;Cloreto total;<0.03;mg/L
PAS 04;2024-05-24;Cloreto;<1.;mg/L
PAS 04;2024-06-26;Cloreto;<1.;mg/L
PAS 04;2024-01-25;Cloreto Total;<0.1;mg/L
PAS 04;2024-02-19;Cloreto;<1.;mg/L
PAS 04;2024-03-20;Cloreto Total;1;mg/L
PAS 04;2024-04-17;Cloreto;<1.;mg/L
PAS 04;2024-07-24 11:57:00;Cloreto;<0.17;mg/L
PAS 04;2020-12-16;Cobre total;<0.005;mg/L
PAS 04;2021-07-03;Cobre total;<0.005;mg/L
PAS 04;2021-12-03;Cobre total;<0.005;mg/L
PAS 04;2022-05-27;Cobre total;0.11;mg/L
PAS 04;2022-11-24;Cobre total;0.11;mg/L
PAS 04;2023-05-18;Cobre total;7.5999999999999998E-2;mg/L
PAS 04;2023-11-24;Cobre total;9.0999999999999998E-2;mg/L
PAS 04;2024-05-24;Cobre Total;<0.0003;mg/L
PAS 04;2024-06-26;Cobre Total;<0.0003;mg/L
PAS 04;2024-02-19;Cobre Total;<0.0003;mg/L
PAS 04;2024-03-20;Cobre Total;<0.0003;mg/L
PAS 04;2024-04-17;Cobre Total;<0.0003;mg/L
PAS 04;2024-07-24 11:57:00;Cobre Total;<0.0003;mg/L
PAS 26;2023-11-23;Condutividade elétrica;179.9;µS/cm
PAS 16;2023-11-23;Condutividade elétrica;178.7;µS/cm
PAS 03;2022-05-26;Condutividade elétrica;174.5;µS/cm
PAS 26;2024-04-17;Condutividade;158;µS/cm
PAS 33;2023-11-29;Condutividade;146.5;µS/cm
PAS 15;2023-11-29;Condutividade;138.69999999999999;µS/cm
PAS 26;2023-11-29;Condutividade;127;µS/cm
PAS 15;2024-02-22;Condutividade;126;µS/cm
PAS 35;2024-02-22;Condutividade;125;µS/cm
PAS 16;2023-11-29;Condutividade;122.5;µS/cm
PAS 16;2022-05-27;Condutividade elétrica;122.4;µS/cm
PAS 15;2024-03-18;Condutividade;122;µS/cm
PAS 15;2022-11-24;Condutividade elétrica;119.9;µS/cm
PAS 13;2024-02-22;Condutividade;118;µS/cm
PAS 16;2024-02-19;Condutividade;117;µS/cm
PAS 03;2024-05-23;Condutividade;115;µS/cm
PAS 13;2024-04-17;Condutividade;108.7;µS/cm
PAS 03;2021-07-03;Cor verdadeira;105.54;uH
PAS 02;2021-12-03;Cor verdadeira;96.93;uH
PAS 07;2022-11-22;Cor verdadeira;95;mg/L
PAS 06;2022-11-22;Cor verdadeira;92;mg/L
PAS 15;2024-02-22;Cor Verdadeira;90;mg/L
PAS 26;2024-04-17;Cor Verdadeira;90;mg/L
PAS 04;2023-11-24;Cor verdadeira;86.8;mg/L
PAS 02;2024-02-19;Cor Verdadeira;85;mg/L
PAS 04;2024-03-20;Cor Verdadeira;82;mg/L
PAS 02;2024-04-17;Cor Verdadeira;76;mg/L
PAS 04;2021-12-03;Cor verdadeira;66.73;uH
PAS 07;2023-11-22;Cor verdadeira;66;mg/L
PAS 06;2023-11-28;Cor verdadeira;66;mg/L
PAS 04;2020-12-16;Cromo total;<0.01;mg/L
PAS 04;2021-07-03;Cromo total;<0.01;mg/L
PAS 04;2021-12-03;Cromo total;<0.01;mg/L
PAS 04;2022-05-27;Cromo total;<0.003;mg/L
PAS 04;2022-11-24;Cromo total;0.02;mg/L
PAS 04;2023-05-18;Cromo total;<0.003;mg/L
PAS 04;2023-11-24;Cromo total;<0.003;mg/L
PAS 04;2024-05-24;Cromo Total;<0.003;mg/L
PAS 04;2024-06-26;Cromo Total;<0.003;mg/L
PAS 04;2024-02-19;Cromo Total;<0.003;mg/L
PAS 04;2024-03-20;Cromo Total;<0.003;mg/L
PAS 04;2024-04-17;Cromo Total;<0.003;mg/L
PAS 04;2024-07-24 11:57:00;Cromo Total;<0.003;mg/L
PAS 01;2022-05-26;DBO;<2.;mg/L
PAS 01;2022-11-23;DBO;<2.;mg/L
PAS 01;2023-11-22;DBO;<2.;mg/L
PAS 02;2022-05-26;DBO;<2.;mg/L
PAS 02;2022-11-23;DBO;<2.;mg/L
PAS 02;2023-05-18;DBO;<2.;mg/L
PAS 02;2023-11-22;DBO;<2.;mg/L
PAS 03;2022-05-26;DBO;<2.;mg/L
PAS 03;2022-11-25;DBO;<2.;mg/L
PAS 03;2023-11-22;Níquel total;<0.007;mg/L
PAS 04;2022-05-27;DBO;<2.;mg/L
PAS 04;2022-11-24;DBO;<2.;mg/L
PAS 04;2023-05-18;DBO;<2.;mg/L
PAS 04;2020-12-16;DQO;2;mg/L
PAS 04;2021-07-03;DQO;<1;mg/L
PAS 04;2021-12-03;DQO;2;mg/L
PAS 04;2022-05-27;DQO;5.8;mg/L
PAS 04;2022-11-24;DQO;<5.;mg/L
PAS 04;2023-05-18;DQO;<5.;mg/L
PAS 04;2023-11-24;DQO;18.8;mg/L
PAS 04;2024-05-24;DQO;<20;mg/L
PAS 04;2024-06-26;DQO;<20;mg/L
PAS 04;2024-02-19;DQO;<20.;mg/L
PAS 04;2024-03-20;DQO;20;mg/L
PAS 04;2024-04-17;DQO;<20;mg/L
PAS 04;2024-07-24 11:57:00;DQO;<20;
PAS 04;2020-12-16;Dureza;14;mg/L
PAS 04;2021-07-03;Dureza;24;mg/L
PAS 04;2021-12-03;Dureza;50;mg/L
PAS 04;2022-05-27;Dureza;2.5;mg/L
PAS 04;2022-11-24;Dureza;10;mg/L
PAS 04;2023-05-18;Dureza;7.5;mg/L
PAS 04;2023-11-24;Dureza;46;mg/L
PAS 04;2024-05-24;Dureza Total;<0.5;mg/L
PAS 04;2024-06-26;Dureza Total;2;mg/L
PAS 04;2024-02-19;Dureza Total;20.13;mg/L
PAS 04;2024-03-20;Dureza Total;14;mg/L
PAS 04;2024-04-17;Dureza Total;<0.5;mg/L
PAS 04;2024-07-24 11:57:00;Dureza Total;6;mg/L
PAS 04;2020-12-16;Fenóis;<0.001;mg/L
PAS 04;2021-07-03;Fenóis;<0.001;mg/L
PAS 04;2021-12-03;Fenóis;<0.001;mg/L
PAS 04;2022-05-27;Fenóis;<0.001;mg/L
PAS 04;2022-11-24;Fenóis;<0.001;mg/L
PAS 04;2023-05-18;Fenóis;<0.001;mg/L
PAS 04;2023-11-24;Fenóis;<0.001;mg/L
PAS 04;2024-05-24;Fenóis Totais;<0.001;mg/L
PAS 04;2024-06-26;Fenóis Totais;<0.001;mg/L
PAS 04;2024-02-19;Fenóis Totais;0.17599999999999999;mg/L
PAS 04;2024-03-20;Fenóis Totais;<0.001;mg/L
PAS 04;2024-04-17;Fenóis Totais;<0.001;mg/L
PAS 04;2024-07-24 11:57:00;Fenóis Totais;<0.001;mg/L
PAS 04;2020-12-16;Ferro total;<0.01;mg/L
PAS 04;2021-07-03;Ferro total;0.109;mg/L
PAS 04;2021-12-03;Ferro total;0.83;mg/L
PAS 04;2022-05-27;Ferro total;0.13;mg/L
PAS 04;2022-11-24;Ferro total;1.1100000000000001;mg/L
PAS 04;2023-05-18;Ferro total;1.82;mg/L
PAS 04;2023-11-24;Ferro total;2.34;mg/L
PAS 04;2024-05-24;Ferro Total;0.14099999999999999;mg/L
PAS 04;2024-06-26;Ferro Total;7.2999999999999995E-2;mg/L
PAS 04;2024-02-19;Ferro Total;0.11;mg/L
PAS 04;2024-03-20;Ferro Total;9.8800000000000008;mg/L
PAS 04;2024-04-17;Ferro Total;0.125;mg/L
PAS 04;2024-07-24 11:57:00;Ferro Total;0.152;mg/L
PAS 04;2020-12-16;Fosfato;<0.01;mg/L
PAS 04;2021-07-03;Fosfato;<0.01;mg/L
PAS 04;2021-12-03;Fosfato;<0.01;mg/L
PAS 04;2022-05-27;Fosfato;<0.01;mg/L
PAS 04;2022-11-24;Fosfato;0.36;mg/L
PAS 04;2023-05-18;Fosfato;<0.01;mg/L
PAS 04;2023-11-24;Fosfato;0.13;mg/L
PAS 04;2024-05-24;Fosfato Total;<0.006;mg/L
PAS 04;2024-06-26;Fosfato Total;<0.006;mg/L
PAS 04;2024-02-19;Fosfato Total;<0.006;mg/L
PAS 04;2024-03-20;Fosfato Total;0.20200000000000001;mg/L
PAS 04;2024-04-17;Fosfato Total;<0.006;mg/L
PAS 04;2024-07-24 11:57:00;Fosfato Total;<0.006;mg/L
PAS 03;2021-12-03;Fósforo total;3.4000000000000002E-2;mg/L
PAS 07;2023-11-28;Fósforo total;3.3000000000000002E-2;mg/L
PAS 26;2023-11-29;Fósforo total;3.3000000000000002E-2;mg/L
PAS 01;2020-12-16;Fósforo total;3.1E-2;mg/L
PAS 13;2024-05-21;Fósforo Total;3.1E-2;mg/L
PAS 03;2023-11-27;Níquel total;<0.003;mg/L
PAS 01;2021-12-04;Fósforo total;2.9000000000000001E-2;mg/L
PAS 15;2021-07-07;Fósforo total;2.9000000000000001E-2;mg/L
PAS 03;2021-07-03;Fósforo total;2.8000000000000001E-2;mg/L
PAS 28;2023-11-27;Fósforo total;2.7E-2;mg/L
PAS 02;2024-07-24 14:25:00;Fósforo Total;2.5999999999999999E-2;mg/L
PAS 07;2021-07-04;Fósforo total;2.1999999999999999E-2;mg/L
PAS 16;2021-12-03;Fósforo total;2.1999999999999999E-2;mg/L
PAS 04;2020-12-16;Níquel total;<0.01;mg/L
PAS 04;2021-07-03;Níquel total;<0.01;mg/L
PAS 04;2021-12-03;Níquel total;<0.01;mg/L
PAS 04;2022-05-27;Níquel total;<0.007;mg/L
PAS 04;2022-11-24;Níquel total;1.9E-2;mg/L
PAS 04;2023-05-18;Níquel total;<0.007;mg/L
PAS 04;2023-11-24;Níquel total;<0.007;mg/L
PAS 04;2024-05-24;Níquel Total;<0.003;mg/L
PAS 04;2024-06-26;Níquel Total;<0.003;mg/L
PAS 04;2024-02-19;Níquel Total;<0.003;mg/L
PAS 04;2024-03-20;Níquel Total;<0.003;mg/L
PAS 04;2024-04-17;Níquel Total;<0.003;mg/L
PAS 04;2024-07-24 11:57:00;Níquel Total;<0.003;mg/L
PAS 03;2024-03-18;Nitrato;<0.23;mg/L
PAS 03;2024-04-17;Nitrato;<0.23;mg/L
PAS 04;2024-02-19;Nitrato;<0.23;mg/L
PAS 04;2024-03-20;Nitrato;<0.23;mg/L
PAS 04;2024-04-17;Nitrato;<0.23;mg/L
PAS 05;2024-02-19;Nitrato;<0.23;mg/L
PAS 05;2024-03-20;Nitrato;<0.23;mg/L
PAS 05;2024-04-16;Nitrato;<0.23;mg/L
PAS 25;2024-07-24 10:38:00;Nitrito (como N);<0.01;mg/L (como  N)
PAS 10;2023-11-27;Nitrato;1.7;mg/L
PAS 08;2024-05-22;Nitrato (como N);<0.23;mg/L
PAS 08;2024-06-26;Nitrato (como N);<0.23;mg/L
PAS 08;2024-07-24 10:44:00;Nitrato (como N);<0.23;mg/L (como  N)
PAS 09;2024-05-20;Nitrato (como N);<0.23;mg/L
PAS 09;2024-06-24;Nitrato (como N);<0.23;mg/L
PAS 09;2024-07-22 12:36:00;Nitrato (como N);<0.23;mg/L (como  N)
PAS 10;2024-05-20;Nitrato (como N);<0.23;mg/L
PAS 10;2024-06-24;Nitrato (como N);<0.23;mg/L
PAS 10;2024-07-22 13:15:00;Nitrato (como N);<0.23;mg/L (como  N)
PAS 11;2024-05-20;Nitrato (como N);<0.23;mg/L
PAS 04;2020-12-16;Nitrogênio amoniacal;<0.001;mg/L
PAS 04;2021-07-03;Nitrogênio amoniacal;<0.001;mg/L
PAS 04;2021-12-03;Nitrogênio amoniacal;<0.001;mg/L
PAS 04;2022-05-27;Nitrogênio amoniacal;<0.6;mg/L
PAS 04;2022-11-24;Nitrogênio amoniacal;<0.6;mg/L
PAS 04;2023-05-18;Nitrogênio amoniacal;<0.6;mg/L
PAS 04;2023-11-24;Nitrogênio amoniacal;<0.6;mg/L
PAS 04;2024-05-24;Nitrogênio Amoniacal Total;<0.005;mg/L
PAS 04;2024-06-26;Nitrogênio Amoniacal Total;0.4;mg/L
PAS 04;2024-02-19;Nitrogênio Amoniacal Total;<0.005;mg/L
PAS 04;2024-03-20;Nitrogênio Amoniacal Total;<0.005;mg/L
PAS 04;2024-04-17;Nitrogênio Amoniacal Total;<0.1;mg/L
PAS 04;2024-07-24 11:57:00;Nitrogênio Amoniacal Total;<0.1;mg/L
PAS 04;2020-12-16;Nitrogênio Kjeldahl;<0.1;mg/L
PAS 04;2021-07-03;Nitrogênio Kjeldahl;<0.1;mg/L
PAS 04;2021-12-03;Nitrogênio Kjeldahl;<0.1;mg/L
PAS 04;2022-05-27;Nitrogênio Kjeldahl;<4.;mg/L
PAS 04;2022-11-24;Nitrogênio Kjeldahl;<4.;mg/L
PAS 04;2023-05-18;Nitrogênio Kjeldahl;<4.;mg/L
PAS 04;2023-11-24;Nitrogênio Kjeldahl;<4.;mg/L
PAS 04;2020-12-16;Nitrogênio total;<0.1;mg/L
PAS 04;2021-07-03;Nitrogênio total;<0.1;mg/L
PAS 04;2021-12-03;Nitrogênio total;<0.1;mg/L
PAS 04;2022-05-27;Nitrogênio total;0.66;mg/L
PAS 04;2022-11-24;Nitrogênio total;0.56000000000000005;mg/L
PAS 04;2023-05-18;Nitrogênio total;0.56000000000000005;mg/L
PAS 04;2023-11-24;Nitrogênio total;0.66;mg/L
PAS 04;2024-05-24;Nitrogênio Total;<0.15;mg/L
PAS 04;2024-06-26;Nitrogênio Total;<0.5;mg/L
PAS 04;2024-02-19;Nitrogênio Total;<0.15;mg/L
PAS 04;2024-03-20;Nitrogênio Total;0.5;mg/L
PAS 04;2024-04-17;Nitrogênio Total;<0.15;mg/L
PAS 04;2024-07-24 11:57:00;Nitrogênio Total;<0.15;mg/L
PAS 19;2020-12-17;Óleos e graxas;0;mg/L
PAS 19;2021-07-07;Óleos e graxas;0;mg/L
PAS 19;2021-12-02;Óleos e graxas;0;mg/L
PAS 20;2020-12-17;Óleos e graxas;0;mg/L
PAS 20;2021-07-05;Óleos e graxas;0;mg/L
PAS 20;2021-12-02;Óleos e graxas;0;mg/L
PAS 08;2020-12-16;Óleos e graxas;0;mg/L
PAS 08;2021-07-07;Óleos e graxas;0;mg/L
PAS 08;2021-12-04;Óleos e graxas;0;mg/L
PAS 09;2020-12-17;Óleos e graxas;0;mg/L
PAS 09;2021-07-02;Óleos e graxas;0;mg/L
PAS 09;2021-12-01;Óleos e graxas;0;mg/L
PAS 10;2020-12-16;Óleos e graxas;0;mg/L
PAS 04;2020-12-16;Ortofosfato;<0.01;mg/L
PAS 04;2021-07-03;Ortofosfato;<0.01;mg/L
PAS 04;2021-12-03;Ortofosfato;<0.01;mg/L
PAS 04;2022-05-27;Ortofosfato;<0.01;mg/L
PAS 04;2022-11-24;Ortofosfato;0.36;mg/L
PAS 04;2023-05-18;Ortofosfato;<0.01;mg/L
PAS 04;2023-11-24;Ortofosfato;0.13;mg/L
PAS 04;2024-05-24;Ortofosfato;<0.006;mg/L
PAS 04;2024-06-26;Ortofosfato;<0.006;mg/L
PAS 04;2024-02-19;Ortofosfato;<0.006;mg/L
PAS 04;2024-03-20;Ortofosfato;<0.02;mg/L
PAS 04;2024-04-17;Ortofosfato;<0.006;mg/L
PAS 04;2024-07-24 11:57:00;Ortofosfato;<0.006;mg/L
PAS 04;2020-12-16;Oxigênio dissolvido;5.9;mg/L
PAS 04;2021-07-03;Oxigênio dissolvido;5.3;mg/L
PAS 04;2021-12-03;Oxigênio dissolvido;5;mg/L
PAS 04;2022-05-27;Oxigênio dissolvido;7.38;mg/L
PAS 04;2022-11-24;Oxigênio dissolvido;7.27;mg/L
PAS 04;2023-05-18;Oxigênio dissolvido;4.42;mg/L
PAS 04;2023-11-24;Oxigênio dissolvido;4.16;mg/L
PAS 04;2024-05-24;Oxigênio Dissolvido;6.75;mg/L
PAS 04;2024-06-26;Oxigênio Dissolvido;5.78;mg/L
PAS 04;2024-02-19;Oxigênio Dissolvido;5.48;mg/L
PAS 04;2024-03-20;Oxigênio Dissolvido;7.14;mg/L
PAS 04;2024-04-17;Oxigênio Dissolvido;7.11;mg/L
PAS 04;2024-07-24 11:57:00;Oxigênio Dissolvido;6.42;mg/L
PAS 14;2022-11-24;pH;6.1;-
PAS 13;2024-03-21;pH;6.11;-
PAS 13;2024-04-17;pH;6.11;-
PAS 13;2024-04-17;pH;6.11;-
PAS 31;2024-03-21;pH;6.12;-
PAS 15;2024-01-25;pH;6.19;-
PAS 26;2024-04-17;pH;6.19;-
PAS 26;2024-04-17;pH;6.19;-
PAS 07;2024-05-23;pH;6.2;-
PAS 15;2022-05-26;pH;6.2;-
PAS 28;2024-03-20;pH;6.2;-
PAS 35;2024-06-27;pH;6.2;-
PAS 31;2024-05-22;pH;6.21;-
PAS 06;2024-07-23 10:19:00;pH;6.22;
PAS 35;2024-02-22;pH;6.22;-
PAS 07;2024-04-15;pH;6.23;-
PAS 27;2024-06-25;pH;6.23;-
PAS 16;2020-12-16;Salinidade;6;mg/L
PAS 03;2024-02-22;Salinidade;0.01;‰
PAS 03;2024-02-22;Salinidade;0.01;‰
PAS 03;2024-04-17;Salinidade;0.01;‰
PAS 03;2024-04-17;Salinidade;0.01;‰
PAS 04;2023-12-14;Salinidade;<0.01;PSU
PAS 04;2024-05-24;Salinidade;0.01;%
PAS 04;2024-06-26;Salinidade;0.01;‰
PAS 04;2024-01-25;Salinidade;<0.01;‰
PAS 04;2024-02-19;Salinidade;0.01;‰
PAS 04;2024-02-19;Salinidade;0.01;‰
PAS 04;2024-03-20;Salinidade;0.01;‰
PAS 04;2024-04-17;Salinidade;0.01;‰
PAS 04;2024-04-17;Salinidade;0.01;‰
PAS 04;2024-07-24 11:55:00;Salinidade;0.01;‰
PAS 05;2023-12-13;Salinidade;<0.01;PSU
PAS 05;2024-02-19;Salinidade;0.01;‰
PAS 28;2023-11-22;Sódio total;8.5399999999999991;mg/L
PAS 01;2023-11-22;Sódio total;8.3000000000000007;mg/L
PAS 07;2023-11-22;Sódio total;8.3000000000000007;mg/L
PAS 04;2023-11-24;Sódio total;8.23;mg/L
PAS 02;2023-11-22;Sódio total;8.08;mg/L
PAS 26;2024-04-17;Sódio Total;8.0500000000000007;mg/L
PAS 05;2023-11-21;Sódio total;7.86;mg/L
